x1,x2,x3
1.0,0.0,1.0
1.0,0.0,0.0
1.0,1.0,1.0
1.0,1.0,0.0
0.0,0.0,1.0
0.0,0.0,0.0
0.0,1.0,1.0
0.0,1.0,0.0
0.196755302522438,0.0,0.2872457028407473
0.0,0.2038030571781349,0.0
0.3851269303937715,0.0,0.0
0.0,0.3079162575206498,0.6463164966191027
0.6071267281647333,0.3538151610597427,0.0
0.9778821489128036,0.7780135640914503,0.0
0.6334113110720863,1.0,0.0
0.0,0.5412897151432738,0.0
1.0,1.0,0.2248171458417985
0.4240081438521105,0.898654691603499,0.0
0.7407280394667337,1.0,0.2651569083279303
0.4850324199223165,0.0,1.0
0.30752416557808,1.0,0.0
0.0,0.0,0.4957785116164476
0.6828838755375995,0.8616038069077676,0.0
0.0,0.7390476512522424,0.0
1.0,0.3638790511020981,0.0
0.0,0.4727340590714304,1.0
1.0,0.2213391215895102,1.0
0.4880551876562112,0.9176335752987144,0.0
0.0,0.0,0.0
0.0,0.3727608568352264,0.0
0.0,1.0,0.0
0.0,0.1166708567607771,0.0
0.0,0.6162114053860787,0.0
