y1,y2
0.611081985681337,0.480995740172763
0.558132715085618,0.478925489521364
0.505371922416684,0.482115521431697
0.504987380529733,0.47842437773145
0.602100837111098,0.481525408159606
0.596681524303559,0.481300744248257
0.581351893665653,0.481642004931735
0.56284280371713,0.482844424490298
0.541576955678671,0.482768926721615
0.533628501558153,0.485526520482155
0.525247839862717,0.481275462913157
0.603375727309265,0.480102529624446
0.566388582154289,0.483104073151591
0.608330635235835,0.479086879383017
0.600053671259298,0.480635824468879
0.572421585159444,0.482692750755508
0.60744393498308,0.479134481860285
0.572843414420109,0.482380869780968
0.560230051452726,0.482411541795645
0.576397239231153,0.483104274724905
0.559388420166666,0.481331638949561
0.473832825870622,0.48557887953759
0.55877536507457,0.479976718674513
0.5301534838132,0.484112327083079
0.438721083488294,0.492974490695109

